Test #;Bootstrap Sample Size;Number of Features;Maxmium Tree Depth;Number of Trees;Accuracy;Computation Time (ms)
0;5400;50;25;50;0.9395;3.956.309
1;5400;50;25;100;0.9463333333333334;7.722.964
2;5400;50;25;150;0.9481666666666667;11.441.237
3;5400;50;25;200;0.9475;15.175.205
4;5400;100;25;50;0.9395;6.730.872
5;5400;100;25;100;0.9433333333333334;13.134.895
6;5400;100;25;150;0.946;19.920.881
7;5400;100;25;200;0.9473333333333334;26.943.492
8;5400;150;25;50;0.9435;9.116.372
9;5400;150;25;100;0.9443333333333334;18.283.908
10;5400;150;25;150;0.945;27.072.493
11;5400;150;25;200;0.9468333333333333;36.147.201
12;5400;200;25;50;0.9396666666666667;11.673.984
13;5400;200;25;100;0.943;2.298.789
14;5400;200;25;150;0.9453333333333334;35.432.748
15;5400;200;25;200;0.9456666666666667;49.793.764
16;13500;50;25;50;0.9521666666666667;9.668.814
17;13500;50;25;100;0.957;18.342.958
18;13500;50;25;150;0.9593333333333334;27.729.199
19;13500;50;25;200;0.9581666666666667;37.093.445
20;13500;100;25;50;0.9555;17.743.461
21;13500;100;25;100;0.9558333333333333;34.378.552
22;13500;100;25;150;0.958;51.779.794
23;13500;100;25;200;0.959;66.371.427
24;13500;150;25;50;0.9531666666666667;22.922.826
25;13500;150;25;100;0.9573333333333334;45.612.998
26;13500;150;25;150;0.958;68.106.437
27;13500;150;25;200;0.9576666666666667;90.709.777
28;13500;200;25;50;0.9538333333333333;29.684.808
29;13500;200;25;100;0.956;59.273.189
30;13500;200;25;150;0.9573333333333334;88.841.647
31;13500;200;25;200;0.957;116.621.529
32;27000;50;25;50;0.9608333333333333;15.425.824
33;27000;50;25;100;0.9616666666666667;3.075.648
34;27000;50;25;150;0.9638333333333333;45.999.625
35;27000;50;25;200;0.9645;61.302.116
36;27000;100;25;50;0.9631666666666666;28.440.812
37;27000;100;25;100;0.9635;56.836.708
38;27000;100;25;150;0.9638333333333333;9.061.401
39;27000;100;25;200;0.9651666666666666;119.308.096
40;27000;150;25;50;0.9616666666666667;44.273.677
41;27000;150;25;100;0.9633333333333334;87.340.218
42;27000;150;25;150;0.9638333333333333;127.717.946
43;27000;150;25;200;0.9638333333333333;168.884.397
44;27000;200;25;50;0.9613333333333334;55.160.957
45;27000;200;25;100;0.9633333333333334;108.795.627
46;27000;200;25;150;0.9636666666666667;162.984.069
47;27000;200;25;200;0.9636666666666667;217.205.217
48;53999;50;25;50;0.967;2.480.688
49;53999;50;25;100;0.9686666666666667;49.639.746
50;53999;50;25;150;0.9681666666666666;74.098.059
51;53999;50;25;200;0.9685;98.966.413
52;53999;100;25;50;0.967;46.745.985
53;53999;100;25;100;0.9686666666666667;93.388.856
54;53999;100;25;150;0.9698333333333333;140.130.437
55;53999;100;25;200;0.9698333333333333;186.689.198
56;53999;150;25;50;0.9651666666666666;68.334.929
57;53999;150;25;100;0.9683333333333334;136.644.735
58;53999;150;25;150;0.9688333333333333;205.121.196
59;53999;150;25;200;0.9686666666666667;272.597.799
60;53999;200;25;50;0.9641666666666666;89.472.402
61;53999;200;25;100;0.9666666666666667;179.033.424
62;53999;200;25;150;0.968;268.350.907
63;53999;200;25;200;0.9663333333333334;35.721.967